iter	Passed	Remaining
0	56	56733
1	57	28496
2	57	19132
3	57	14419
4	58	11623
5	59	9816
6	59	8442
7	59	7413
8	60	6612
9	60	5971
10	60	5447
11	60	5010
12	61	4652
13	61	4334
14	62	4072
15	62	3843
16	62	3628
17	63	3439
18	63	3268
19	63	3113
20	63	2975
21	65	2894
22	65	2782
23	65	2675
24	66	2576
25	66	2488
26	66	2402
27	66	2321
28	67	2247
29	67	2178
30	67	2115
31	67	2055
32	68	1999
33	68	1946
34	68	1895
35	68	1846
36	69	1801
37	69	1758
38	69	1716
39	69	1676
40	70	1639
41	70	1603
42	70	1568
43	70	1535
44	70	1504
45	71	1474
46	71	1445
47	71	1417
48	71	1391
49	71	1366
50	72	1342
51	72	1318
52	72	1296
53	72	1274
54	73	1254
55	73	1234
56	73	1215
57	73	1196
58	73	1178
59	74	1161
60	74	1144
61	74	1127
62	74	1111
63	74	1096
64	75	1081
65	75	1067
66	75	1053
67	75	1037
68	75	1024
69	76	1011
70	76	999
71	76	987
72	76	976
73	77	964
74	77	953
75	77	942
76	77	932
77	77	921
78	78	911
79	78	901
80	78	892
81	78	883
82	79	874
83	79	865
84	79	855
85	79	847
86	79	837
87	80	829
88	80	821
89	80	814
90	80	808
91	81	804
92	81	797
93	82	790
94	82	783
95	82	778
96	82	771
97	83	764
98	83	758
99	83	751
100	83	745
101	83	738
102	84	732
103	84	726
104	84	720
105	84	714
106	84	709
107	85	703
108	85	700
109	85	695
110	86	690
111	86	685
112	86	680
113	86	676
114	87	672
115	87	667
116	87	662
117	88	658
118	88	653
119	88	649
120	88	644
121	88	640
122	89	634
123	89	630
124	89	625
125	89	621
126	89	617
127	89	612
128	90	609
129	90	605
130	90	602
131	91	600
132	91	596
133	91	593
134	92	589
135	92	586
136	92	583
137	92	579
138	94	584
139	94	580
140	94	577
141	95	574
142	95	571
143	95	568
144	95	565
145	96	562
146	96	559
147	96	556
148	96	553
149	97	550
150	97	547
151	97	544
152	97	541
153	98	538
154	98	536
155	98	533
156	98	530
157	98	527
158	99	524
159	99	521
160	99	518
161	99	516
162	99	513
163	100	510
164	100	508
165	100	505
166	100	503
167	101	500
168	101	497
169	101	495
170	101	492
171	101	490
172	102	487
173	102	485
174	102	482
175	102	480
176	102	478
177	103	476
178	103	473
179	103	471
180	103	468
181	103	466
182	104	464
183	104	462
184	104	460
185	104	459
186	105	457
187	105	455
188	105	453
189	105	451
190	106	449
191	106	447
192	106	446
193	107	445
194	107	443
195	107	441
196	107	439
197	108	438
198	108	436
199	108	434
200	108	432
201	109	430
202	109	428
203	109	427
204	109	425
205	109	423
206	110	421
207	110	420
208	110	418
209	110	416
210	111	415
211	111	413
212	111	411
213	111	410
214	112	409
215	112	408
216	112	406
217	113	405
218	113	404
219	113	403
220	113	401
221	114	400
222	114	398
223	114	397
224	114	395
225	115	394
226	115	393
227	115	392
228	116	391
229	116	389
230	117	390
231	117	388
232	117	387
233	117	386
234	118	384
235	118	383
236	118	381
237	119	381
238	119	380
239	119	378
240	119	377
241	120	376
242	120	374
243	120	373
244	120	372
245	120	370
246	121	369
247	121	367
248	121	366
249	121	365
250	121	363
251	122	362
252	122	361
253	122	359
254	122	358
255	122	357
256	123	355
257	123	354
258	123	353
259	123	351
260	123	350
261	123	349
262	124	347
263	124	346
264	124	345
265	124	344
266	124	343
267	125	341
268	125	340
269	125	339
270	125	338
271	125	337
272	126	335
273	126	334
274	126	333
275	126	332
276	127	331
277	127	330
278	127	329
279	127	327
280	127	326
281	127	325
282	128	324
283	128	323
284	128	322
285	128	321
286	128	319
287	128	318
288	129	317
289	129	316
290	129	315
291	129	314
292	129	313
293	130	312
294	130	311
295	130	310
296	130	309
297	130	308
298	130	307
299	131	306
300	131	304
301	131	304
302	131	303
303	131	302
304	132	301
305	132	300
306	132	299
307	132	298
308	132	297
309	133	296
310	133	295
311	133	294
312	133	293
313	133	292
314	134	291
315	134	290
316	134	290
317	134	289
318	135	288
319	135	287
320	135	286
321	135	285
322	135	284
323	136	283
324	136	283
325	136	282
326	136	281
327	136	280
328	137	279
329	137	278
330	137	277
331	137	277
332	137	276
333	138	275
334	138	274
335	138	274
336	138	273
337	139	272
338	139	271
339	139	270
340	139	270
341	139	269
342	140	268
343	140	267
344	140	266
345	140	266
346	141	265
347	141	264
348	141	263
349	141	262
350	141	262
351	141	261
352	142	260
353	142	259
354	142	259
355	142	258
356	142	257
357	143	256
358	143	255
359	143	255
360	143	254
361	143	253
362	144	252
363	144	252
364	144	251
365	144	250
366	144	250
367	145	249
368	145	248
369	145	247
370	145	247
371	146	246
372	146	245
373	146	245
374	146	244
375	146	243
376	147	243
377	147	242
378	147	241
379	147	240
380	147	240
381	148	239
382	148	238
383	148	238
384	148	237
385	148	236
386	149	236
387	149	235
388	149	234
389	149	234
390	149	233
391	149	232
392	150	231
393	150	231
394	150	230
395	150	230
396	151	229
397	151	228
398	151	228
399	151	227
400	151	226
401	152	226
402	152	225
403	152	224
404	152	224
405	152	223
406	153	222
407	153	222
408	153	221
409	153	221
410	153	220
411	154	219
412	154	219
413	154	218
414	154	218
415	154	217
416	155	216
417	155	216
418	155	215
419	155	214
420	155	214
421	156	213
422	156	213
423	156	212
424	156	212
425	157	211
426	157	210
427	157	210
428	157	209
429	157	209
430	158	208
431	158	208
432	158	207
433	158	206
434	158	206
435	159	205
436	159	205
437	159	204
438	159	203
439	159	203
440	159	202
441	160	202
442	160	201
443	160	201
444	160	200
445	160	199
446	161	199
447	161	198
448	161	198
449	161	197
450	161	197
451	162	196
452	162	196
453	162	195
454	162	194
455	162	194
456	163	193
457	163	193
458	163	192
459	163	192
460	163	191
461	164	191
462	164	190
463	164	189
464	164	189
465	164	188
466	165	188
467	165	187
468	165	187
469	165	186
470	165	186
471	166	185
472	166	185
473	166	184
474	166	184
475	166	183
476	167	183
477	167	182
478	167	182
479	167	181
480	167	181
481	168	180
482	168	180
483	168	179
484	168	179
485	168	178
486	169	178
487	169	177
488	169	177
489	169	176
490	169	176
491	170	175
492	170	175
493	170	174
494	170	174
495	170	173
496	171	173
497	171	172
498	171	172
499	171	171
500	171	171
501	172	170
502	172	170
503	172	169
504	172	169
505	172	168
506	172	168
507	173	167
508	173	167
509	173	166
510	173	166
511	173	165
512	174	165
513	174	164
514	174	164
515	174	163
516	174	163
517	175	162
518	175	162
519	175	162
520	175	161
521	175	161
522	176	160
523	176	160
524	176	159
525	176	159
526	176	158
527	177	158
528	177	157
529	177	157
530	177	156
531	177	156
532	178	155
533	178	155
534	178	155
535	178	154
536	178	154
537	178	153
538	179	153
539	179	152
540	179	152
541	179	151
542	179	151
543	180	151
544	180	150
545	180	150
546	180	149
547	181	149
548	181	148
549	181	148
550	181	148
551	181	147
552	182	147
553	182	146
554	182	146
555	182	145
556	182	145
557	183	144
558	183	144
559	183	144
560	183	143
561	183	143
562	184	142
563	184	142
564	184	142
565	184	141
566	184	141
567	185	140
568	185	140
569	185	139
570	185	139
571	185	139
572	186	138
573	186	138
574	186	137
575	186	137
576	186	136
577	187	136
578	187	136
579	187	135
580	187	135
581	187	134
582	188	134
583	188	134
584	188	133
585	188	133
586	188	132
587	189	132
588	189	132
589	189	131
590	189	131
591	189	130
592	190	130
593	190	130
594	190	129
595	190	129
596	190	128
597	191	128
598	191	128
599	191	127
600	191	127
601	191	126
602	192	126
603	192	126
604	192	125
605	192	125
606	192	124
607	193	124
608	193	124
609	193	123
610	193	123
611	193	122
612	194	122
613	194	122
614	194	121
615	194	121
616	194	120
617	195	120
618	195	120
619	195	119
620	195	119
621	195	118
622	195	118
623	196	118
624	196	117
625	196	117
626	196	117
627	196	116
628	197	116
629	197	115
630	197	115
631	197	115
632	197	114
633	198	114
634	198	114
635	198	113
636	198	113
637	198	112
638	199	112
639	199	112
640	199	111
641	199	111
642	199	111
643	200	110
644	200	110
645	200	109
646	200	109
647	200	109
648	201	108
649	201	108
650	201	108
651	201	107
652	201	107
653	202	106
654	202	106
655	202	106
656	202	105
657	202	105
658	203	105
659	203	104
660	203	104
661	203	103
662	203	103
663	204	103
664	204	102
665	204	102
666	204	102
667	204	101
668	204	101
669	205	101
670	205	100
671	205	100
672	205	99
673	205	99
674	206	99
675	206	98
676	206	98
677	206	98
678	207	97
679	207	97
680	207	97
681	207	96
