iter	Passed	Remaining
0	57	57593
1	57	28920
2	58	19341
3	58	14550
4	58	11673
5	58	9754
6	59	8384
7	59	7358
8	59	6559
9	59	5920
10	60	5397
11	60	4964
12	60	4598
13	60	4282
14	61	4007
15	61	3766
16	61	3554
17	61	3366
18	61	3196
19	62	3043
20	62	2905
21	62	2780
22	62	2666
23	62	2561
24	63	2464
25	63	2375
26	63	2293
27	63	2216
28	64	2144
29	64	2078
30	64	2015
31	64	1957
32	64	1903
33	65	1850
34	65	1802
35	65	1755
36	65	1712
37	66	1670
38	66	1631
39	66	1594
40	66	1558
41	66	1525
42	67	1493
43	67	1462
44	67	1433
45	67	1406
46	68	1379
47	68	1355
48	68	1330
49	68	1306
50	68	1283
51	69	1261
52	69	1240
53	69	1219
54	69	1199
55	70	1180
56	70	1162
57	70	1144
58	70	1127
59	70	1110
60	71	1094
61	71	1079
62	71	1063
63	71	1049
64	71	1034
65	72	1021
66	72	1007
67	72	994
68	72	982
69	72	969
70	73	957
71	73	945
72	73	934
73	73	923
74	74	912
75	74	902
76	74	891
77	74	881
78	74	871
79	75	862
80	75	853
81	75	844
82	75	834
83	75	826
84	75	817
85	76	809
86	76	801
87	76	793
88	76	786
89	77	778
90	77	771
91	77	764
92	77	757
93	77	749
94	78	743
95	78	736
96	78	729
97	78	723
98	78	717
99	78	710
100	79	704
101	79	699
102	79	693
103	79	687
104	79	681
105	80	676
106	80	670
107	80	665
108	80	660
109	80	654
110	81	649
111	81	645
112	81	640
113	81	635
114	81	630
115	82	625
116	82	620
117	82	616
118	82	611
119	82	607
120	83	603
121	83	598
122	83	594
123	83	590
124	83	586
125	84	582
126	84	580
127	84	577
128	85	574
129	85	570
130	85	566
131	85	563
132	85	559
133	86	556
134	86	552
135	86	548
136	86	545
137	86	542
138	87	539
139	87	535
140	87	532
141	87	528
142	87	525
143	87	522
144	88	519
145	88	516
146	88	513
147	88	510
148	88	507
149	89	504
150	89	502
151	89	499
152	89	496
153	89	493
154	90	491
155	90	488
156	90	485
157	90	483
158	90	480
159	91	478
160	91	475
161	91	472
162	91	470
163	91	467
164	91	465
165	92	462
166	92	460
167	92	458
168	92	455
169	92	453
170	93	451
171	93	449
172	93	447
173	93	444
174	93	442
175	94	440
176	94	438
177	94	436
178	94	434
179	94	432
180	95	430
181	95	428
182	95	426
183	95	424
184	95	422
185	96	420
186	96	418
187	96	416
188	96	415
189	96	413
190	97	412
191	97	410
192	97	408
193	98	407
194	98	405
195	98	404
196	98	402
197	99	401
198	99	399
199	99	397
200	99	396
201	99	394
202	100	393
203	100	391
204	100	390
205	100	388
206	101	386
207	101	385
208	101	384
209	101	382
210	101	381
211	102	379
212	102	378
213	102	376
214	102	375
215	102	373
216	103	372
217	103	370
218	103	369
219	103	367
220	103	366
221	104	364
222	104	363
223	104	362
224	104	360
225	104	359
226	105	358
227	105	356
228	105	355
229	105	353
230	105	352
231	106	351
232	106	350
233	106	348
234	106	347
235	106	346
236	107	344
237	107	343
238	107	342
239	107	341
240	107	339
241	108	338
242	108	337
243	108	336
244	108	334
245	108	333
246	109	332
247	109	331
248	109	330
249	109	328
250	109	327
251	110	326
252	110	325
253	110	324
254	110	323
255	110	322
256	111	321
257	111	319
258	111	318
259	111	317
260	111	316
261	111	315
262	112	314
263	112	313
264	112	312
265	112	311
266	113	310
267	113	309
268	113	308
269	113	307
270	113	306
271	113	305
272	114	304
273	114	303
274	114	302
275	115	301
276	115	300
277	115	299
278	115	298
279	115	297
280	116	296
281	116	295
282	116	294
283	116	294
284	116	293
285	117	292
286	117	291
287	117	290
288	117	289
289	117	288
290	117	287
291	118	286
292	118	285
293	118	284
294	118	283
295	119	283
296	119	282
297	119	281
298	119	280
299	119	279
300	120	278
301	120	277
302	120	276
303	120	276
304	120	275
305	120	274
306	121	273
307	121	272
308	121	271
309	121	270
310	121	270
311	122	269
312	122	268
